,spot-0,pe-premium-0,ce-premium-0,pe-profit-0,ce-profit-0,spot-1,pe-premium-1,ce-premium-1,pe-profit-1,ce-profit-1
60,38072.7,384.25,478.80,74.35,-36.65,38072.7,384.25,478.80,74.35,-36.65
61,38081.7,373.15,484.95,85.45,-42.8,38081.7,373.15,484.95,85.45,-42.8
62,38120.55,358.50,500.10,100.1,-57.95,38120.55,358.50,500.10,100.1,-57.95
63,38105.95,366.10,487.70,92.5,-45.55,38105.95,366.10,487.70,92.5,-45.55
64,38093.85,370.95,482.50,87.65,-40.35,38093.85,370.95,482.50,87.65,-40.35
65,38120.6,357.00,498.85,101.6,-56.7,38120.6,357.00,498.85,101.6,-56.7
66,38110.65,368.05,485.25,90.55,-43.1,38110.65,368.05,485.25,90.55,-43.1
67,38091.3,377.60,477.25,81.0,-35.1,38091.3,377.60,477.25,81.0,-35.1
68,38103.8,363.75,489.40,94.85,-47.25,38103.8,363.75,489.40,94.85,-47.25
69,38094.15,375.80,480.05,82.8,-37.9,38094.15,375.80,480.05,82.8,-37.9
70,38080.2,380.50,472.80,78.1,-30.65,38080.2,380.50,472.80,78.1,-30.65
71,38116.85,360.45,492.50,98.15,-50.35,38116.85,360.45,492.50,98.15,-50.35
72,38109.55,369.70,485.20,88.9,-43.05,38109.55,369.70,485.20,88.9,-43.05
73,38110.65,365.90,487.10,92.7,-44.95,38110.65,365.90,487.10,92.7,-44.95
74,38094.65,375.60,476.05,83.0,-33.9,38094.65,375.60,476.05,83.0,-33.9
75,38085.25,379.30,475.00,79.3,-32.85,38085.25,379.30,475.00,79.3,-32.85
76,38071.2,382.55,469.50,76.05,-27.35,38071.2,382.55,469.50,76.05,-27.35
77,38077.85,377.05,475.10,81.55,-32.95,38077.85,377.05,475.10,81.55,-32.95
78,38092.65,365.55,485.20,93.05,-43.05,38092.65,365.55,485.20,93.05,-43.05
79,38097.95,367.20,486.00,91.4,-43.85,38097.95,367.20,486.00,91.4,-43.85
80,38109.2,364.45,487.35,94.15,-45.2,38109.2,364.45,487.35,94.15,-45.2
81,38091.65,373.95,479.25,84.65,-37.1,38091.65,373.95,479.25,84.65,-37.1
82,38075.05,373.80,479.70,84.8,-37.55,38075.05,373.80,479.70,84.8,-37.55
83,38081.85,372.90,479.95,85.7,-37.8,38081.85,372.90,479.95,85.7,-37.8
84,38075.1,378.30,477.75,80.3,-35.6,38075.1,378.30,477.75,80.3,-35.6
85,37992.9,415.55,431.35,43.05,10.8,37992.9,415.55,431.35,43.05,10.8
86,38046.55,402.75,450.25,55.85,-8.1,38046.55,402.75,450.25,55.85,-8.1
87,38046.25,392.95,458.75,65.65,-16.6,38046.25,392.95,458.75,65.65,-16.6
88,38048.55,394.00,458.95,64.6,-16.8,38048.55,394.00,458.95,64.6,-16.8
89,38031.3,400.20,447.15,58.4,-5.0,38031.3,400.20,447.15,58.4,-5.0
90,38016.8,405.15,444.30,53.45,-2.15,38016.8,405.15,444.30,53.45,-2.15
91,38034.7,396.95,453.15,61.65,-11.0,38034.7,396.95,453.15,61.65,-11.0
92,38010.65,410.35,438.90,48.25,3.25,38010.65,410.35,438.90,48.25,3.25
93,38011.75,403.40,445.75,55.2,-3.6,38011.75,403.40,445.75,55.2,-3.6
94,38003.7,414.20,432.10,44.4,10.05,38003.7,414.20,432.10,44.4,10.05
95,37978.0,421.15,421.80,37.45,20.35,37978.0,421.15,421.80,37.45,20.35
96,37959.95,432.75,408.95,25.85,33.2,37959.95,432.75,408.95,25.85,33.2
97,37966.2,423.75,418.65,34.85,23.5,37966.2,423.75,418.65,34.85,23.5
98,37932.3,442.10,399.55,16.5,42.6,37932.3,442.10,399.55,16.5,42.6
99,37923.15,449.90,391.55,8.7,50.6,37923.15,449.90,391.55,8.7,50.6
100,37962.4,425.00,414.95,33.6,27.2,37962.4,425.00,414.95,33.6,27.2
101,37995.95,406.70,430.60,51.9,11.55,37995.95,406.70,430.60,51.9,11.55
102,37984.6,413.45,426.70,45.15,15.45,37984.6,413.45,426.70,45.15,15.45
103,38011.4,402.00,439.10,56.6,3.05,38011.4,402.00,439.10,56.6,3.05
104,38017.7,397.25,441.00,61.35,1.15,38017.7,397.25,441.00,61.35,1.15
105,38021.8,395.35,441.75,63.25,0.4,38021.8,395.35,441.75,63.25,0.4
106,38023.75,399.75,442.05,58.85,0.1,38023.75,399.75,442.05,58.85,0.1
107,37981.95,422.60,417.55,36.0,24.6,37981.95,422.60,417.55,36.0,24.6
108,37944.6,442.95,396.30,15.65,45.85,37944.6,442.95,396.30,15.65,45.85
109,37977.2,421.10,417.25,37.5,24.9,37977.2,421.10,417.25,37.5,24.9
110,37995.8,408.15,427.00,50.45,15.15,37995.8,408.15,427.00,50.45,15.15
111,37971.45,429.15,411.60,29.45,30.55,37971.45,429.15,411.60,29.45,30.55
112,37957.45,433.85,409.55,24.75,32.6,37957.45,433.85,409.55,24.75,32.6
113,37969.05,430.50,413.30,28.1,28.85,37969.05,430.50,413.30,28.1,28.85
114,37958.55,437.85,409.50,20.75,32.65,37958.55,437.85,409.50,20.75,32.65
115,37947.8,449.55,399.35,9.05,42.8,37947.8,449.55,399.35,9.05,42.8
116,37969.75,426.60,417.20,32.0,24.95,37969.75,426.60,417.20,32.0,24.95
117,37940.85,445.45,403.10,13.15,39.05,37940.85,445.45,403.10,13.15,39.05
118,37925.3,451.15,401.15,7.45,41.0,37925.3,451.15,401.15,7.45,41.0
119,37935.55,445.50,406.50,13.1,35.65,37935.55,445.50,406.50,13.1,35.65
120,37932.2,445.00,405.45,13.6,36.7,37932.2,445.00,405.45,13.6,36.7
121,37890.75,474.80,380.80,-16.2,61.35,37890.75,474.80,380.80,-16.2,61.35
