Symbol
BSE
BHARATRAS
EPL
TTKPRESTIG
TCNSBRANDS
KAJARIACER
IOLCP
STARCEMENT
WELSPUNIND
JKLAKSHMI
CDSL
RADICO
MINDAIND
CENTURYTEX
SWANENERGY
BURGERKING
GALAXYSURF
SUNDARMFIN
ERIS
PGHH
MCX
ADANIENT
HINDUNILVR
SUPRAJIT
PIDILITIND
INDIAMART
ATGL
ADANITRANS
TRIDENT
INFIBEAM
ASTRAL
VGUARD
CHAMBLFERT
INDIGO
CHOLAFIN
TIINDIA
DLF
LAOPALA
NOCIL
IRB
TASTYBITE
MAHSEAMLES
APLAPOLLO
UTIAMC
WESTLIFE
TATASTEEL
NILKAMAL
GRASIM
JINDALSTEL
CCL
DISHTV
TANLA
HEMIPROP
ENDURANCE
SBIN
JSWSTEEL
BEML
HINDPETRO
CROMPTON
APOLLOTYRE
PRINCEPIPE
MCDOWELL-N
MOTHERSUMI
TATACONSUM
HEIDELBERG
TATAMTRDVR
ROSSARI
IOC
TATAMOTORS
AFFLE
JKPAPER
PHOENIXLTD
DABUR
INDUSINDBK
COLPAL
SHILPAMED
OBEROIRLTY
SEQUENT
HAVELLS
DBL
BRITANNIA
IRCTC
BDL
SAIL
CANFINHOME
AXISBANK
MAHLOG
BANKBARODA
POLYCAB
BAJAJFINSV
HAPPSTMNDS
KALPATPOWR
NESTLEIND
BERGEPAINT
ADANIGREEN
ALKYLAMINE
CEATLTD
ALEMBICLTD
AKZOINDIA
JMFINANCIL
WABCOINDIA
SRF
RAYMOND
JKTYRE
NAVINFLUOR
MARUTI
SHARDACROP
COCHINSHIP
IOB
BAJAJ-AUTO
PAGEIND
PNCINFRA
LTTS
KNRCON
NH
MRPL
HAL
FEDERALBNK
SBILIFE
VINATIORGA
FINPIPE
BASF
DCBBANK
ICICIPRULI
ESCORTS
TRITURBINE
ACC
NCC
INDOCO
ADANIPORTS
PRESTIGE
GRINDWELL
JUBLFOOD
M&MFIN
LT
EXIDEIND
RAJESHEXPO
CUB
SWSOLAR
KPITTECH
RATNAMANI
IRCON
TATACHEM
FDC
VMART
TCIEXP
SYNGENE
ORIENTELEC
VTL
HDFC
IFBIND
CRISIL
ICICIGI
DEEPAKNTR
ZYDUSWELL
VEDL
RVNL
GNFC
INDIANB
SIEMENS
MAZDOCK
BPCL
GEPIL
VBL
AARTIDRUGS
ICIL
TORNTPOWER
AIAENG
NIACL
TVSMOTOR
EMAMILTD
DMART
VOLTAS
BAJFINANCE
PVR
AMARAJABAT
SUNDRMFAST
HDFCAMC
MARICO
SRTRANSFIN
BBTC
BALAMINES
CAPLIPOINT
RELIANCE
CENTRALBK
GODREJIND
TATAINVEST
KANSAINER
LICHSGFIN
IIFLWAM
DIVISLAB
HDFCBANK
GPPL
SUMICHEM
JKCEMENT
WOCKPHARMA
AUBANK
PIIND
OFSS
SCI
BHARATFORG
PGHL
SBICARD
VAIBHAVGBL
TITAN
NAM-INDIA
INDIACEM
ROUTE
ICICIBANK
AMBER
BAJAJCON
DHANI
COROMANDEL
JTEKTINDIA
ASIANPAINT
HEROMOTOCO
TATAPOWER
RBLBANK
UCOBANK
HDFCLIFE
MIDHANI
RELAXO
GODREJCP
GICRE
BATAINDIA
APOLLOHOSP
NLCINDIA
BLUEDART
AVANTIFEED
ASAHIINDIA
MRF
GAEL
ITC
GMMPFAUDLR
CAMS
DALBHARAT
HEG
NAUKRI
UNIONBANK
GODREJPROP
SONATSOFTW
CANBK
ABCAPITAL
BALMLAWRIE
MAHABANK
NTPC
VAKRANGEE
NESCO
ADVENZYMES
SHREECEM
BANKINDIA
WHIRLPOOL
VENKEYS
HUDCO
INGERRAND
SUZLON
VSTIND
GLENMARK
THERMAX
UFLEX
PNB
HINDALCO
JCHAC
HSCL
PERSISTENT
SKFINDIA
RAIN
CASTROLIND
IIFL
RESPONIND
BALKRISIND
BHARTIARTL
KOTAKBANK
IGL
RAMCOCEM
DCAL
AJANTPHARM
L&TFH
SCHNEIDER
DIXON
IDFC
HCLTECH
BHEL
IEX
BALRAMCHIN
YESBANK
SUNTECK
NFL
SPANDANA
RITES
POLYPLEX
ITI
ALKEM
ABB
INFY
PRSMJOHNSN
GULFOILLUB
SANOFI
SHOPERSTOP
SOLARINDS
FINEORG
GODFRYPHLP
IDFCFIRSTB
BOSCHLTD
MAXHEALTH
ZENSARTECH
ULTRACEMCO
UJJIVANSFB
TATACOFFEE
CESC
SHRIRAMCIT
CIPLA
GRAPHITE
M&M
AMBUJACEM
TRENT
SJVN
NBCC
WIPRO
ANGELBRKG
PFC
UBL
SYMPHONY
EICHERMOT
SUDARSCHEM
JAMNAAUTO
DHANUKA
HUHTAMAKI
HATSUN
POWERGRID
TIMKEN
JSWENERGY
MAHINDCIE
ASHOKA
ISEC
CERA
JUSTDIAL
NMDC
3MINDIA
BLISSGVS
RALLIS
NETWORK18
TATAELXSI
BIRLACORPN
MGL
BAJAJHLDNG
IDBI
FINCABLES
MOIL
PHILIPCARB
BAYERCROP
SUNCLAYLTD
ALOKINDS
STAR
CREDITACC
SUNPHARMA
GARFIBRES
APLLTD
SOLARA
SPICEJET
DELTACORP
GUJALKALI
INDUSTOWER
LUPIN
FCONSUMER
EIDPARRY
CENTURYPLY
ASTRAZEN
JYOTHYLAB
INTELLECT
MAHSCOOTER
VIPIND
TV18BRDCST
ENGINERSIN
BANDHANBNK
KPRMILL
RECLTD
NATIONALUM
VARROC
UPL
SIS
EDELWEISS
MHRIL
TORNTPHARM
ASHOKLEY
GRSE
KARURVYSYA
EQUITAS
AARTIIND
QUESS
TATACOMM
GILLETTE
CONCOR
WELCORP
CSBBANK
REDINGTON
GODREJAGRO
KSB
FRETAIL
CARBORUNIV
TCS
LAURUSLABS
SUPPETRO
RCF
ATUL
MPHASIS
